State,Year,Quarter,District,Registered_User,App_Opens,Latitude,Longitude,Region
Arunachal Pradesh,2022,2,Siang,4160,1500428,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,2,Kra Daadi,1797,724575,27.9366293,92.6658618,North-Eastern Region
Arunachal Pradesh,2022,2,Changlang,28495,5476741,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2022,2,Pakke Kessang,945,590302,27.1061731,92.9311395,North-Eastern Region
Arunachal Pradesh,2022,2,East Siang,27240,3704889,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2022,2,Upper Subansiri,9235,1261876,28.3,94.0,North-Eastern Region
Arunachal Pradesh,2022,2,Tawang,16475,3393271,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,2,Namsai,14887,2283314,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,3,Lower Subansiri,12085,2475131,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,3,Tirap,11115,2414601,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,3,Papum Pare,124095,4843797,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,3,Anjaw,3966,844043,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,3,Lower Siang,5436,1508192,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,3,Dibang Valley,740,285052,28.8291044,95.95540957636018,North-Eastern Region
Arunachal Pradesh,2022,3,West Kameng,30964,7334928,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2022,3,Shi Yomi,598,312490,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,3,East Kameng,5997,1054633,27.55778095,92.96738426595108,North-Eastern Region
Arunachal Pradesh,2022,3,Lohit,21385,4282624,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,3,Lepa Rada,4510,1208942,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,3,Lower Dibang Valley,12668,2160151,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2022,3,Longding,6321,2587741,27.8,93.6,North-Eastern Region
